SK Raina,1383,1009,117,62,37,137.07,37.38,17,334,367,0.18,19.65
AC Gilchrist,1220,865,136,64,45,141.04,27.11,0,0,0,0,0
RG Sharma,1170,909,96,51,38,128.71,30.79,15,284,330,0.19,18.93
SR Tendulkar,1169,992,151,15,30,117.84,38.97,0,37,57,0.26,0
JH Kallis,1132,1054,127,21,36,107.4,31.44,26,850,1100,0.22,32.69
ML Hayden,1107,839,121,44,31,131.94,35.71,0,0,0,0,0
G Gambhir,1097,900,132,12,35,121.89,31.34,0,0,0,0,0
MS Dhoni,1033,804,86,32,27,128.48,38.26,0,0,0,0,0
SC Ganguly,1031,977,104,36,36,105.53,28.64,9,219,265,0.2,24.33
YK Pathan,1029,655,90,63,38,157.1,27.08,23,605,697,0.19,26.3
KC Sangakkara,1009,799,117,18,32,126.28,31.53,0,0,0,0,0
V Sehwag,960,602,117,42,36,159.47,26.67,6,108,179,0.28,18
R Dravid,898,741,97,17,34,121.19,26.41,0,0,0,0,0
Yuvraj Singh,898,714,70,49,37,125.77,24.27,15,316,373,0.2,21.07
RV Uthappa,869,692,73,39,32,125.58,27.16,0,0,0,0,0
DPMD Jayawardene,843,622,87,26,24,135.53,35.12,0,0,0,0,0
A Symonds,839,638,65,38,23,131.5,36.48,22,516,615,0.2,23.45
HH Gibbs,805,746,75,29,30,107.91,26.83,0,0,0,0,0
ST Jayasuriya,768,573,84,39,28,134.03,27.43,16,301,375,0.21,18.81
SE Marsh,763,569,73,32,12,134.09,63.58,0,0,0,0,0
S Badrinath,725,614,82,17,26,118.08,27.88,0,0,0,0,0
V Kohli,718,609,66,24,33,117.9,21.76,2,121,149,0.21,60.5
KD Karthik,711,574,59,19,27,123.87,26.33,0,0,0,0,0
GC Smith,697,637,88,9,22,109.42,31.68,0,0,0,0,0
