player,runs_scored,ball_faced,4s,6s,outs,strike_rate,batting_average,wickets,balls_bowled,runs_conceded,economy,bowling_strike_rate
SK Raina,1383,1009,117,62,37,137.07,37.38,17,334,367,0.18,19.65
AC Gilchrist,1220,865,136,64,45,141.04,27.11,0,0,0,0,0
RG Sharma,1170,909,96,51,38,128.71,30.79,15,284,330,0.19,18.93
SR Tendulkar,1169,992,151,15,30,117.84,38.97,0,37,57,0.26,0
JH Kallis,1132,1054,127,21,36,107.4,31.44,26,850,1100,0.22,32.69
ML Hayden,1107,839,121,44,31,131.94,35.71,0,0,0,0,0
G Gambhir,1097,900,132,12,35,121.89,31.34,0,0,0,0,0
MS Dhoni,1033,804,86,32,27,128.48,38.26,0,0,0,0,0
SC Ganguly,1031,977,104,36,36,105.53,28.64,9,219,265,0.2,24.33
YK Pathan,1029,655,90,63,38,157.1,27.08,23,605,697,0.19,26.3
KC Sangakkara,1009,799,117,18,32,126.28,31.53,0,0,0,0,0
V Sehwag,960,602,117,42,36,159.47,26.67,6,108,179,0.28,18
R Dravid,898,741,97,17,34,121.19,26.41,0,0,0,0,0
Yuvraj Singh,898,714,70,49,37,125.77,24.27,15,316,373,0.2,21.07
RV Uthappa,869,692,73,39,32,125.58,27.16,0,0,0,0,0
DPMD Jayawardene,843,622,87,26,24,135.53,35.12,0,0,0,0,0
A Symonds,839,638,65,38,23,131.5,36.48,22,516,615,0.2,23.45
HH Gibbs,805,746,75,29,30,107.91,26.83,0,0,0,0,0
ST Jayasuriya,768,573,84,39,28,134.03,27.43,16,301,375,0.21,18.81
SE Marsh,763,569,73,32,12,134.09,63.58,0,0,0,0,0
S Badrinath,725,614,82,17,26,118.08,27.88,0,0,0,0,0
V Kohli,718,609,66,24,33,117.9,21.76,2,121,149,0.21,60.5
KD Karthik,711,574,59,19,27,123.87,26.33,0,0,0,0,0
GC Smith,697,637,88,9,22,109.42,31.68,0,0,0,0,0
IK Pathan,603,472,47,22,24,127.75,25.12,57,940,1123,0.2,16.49
RP Singh,44,62,2,1,10,70.97,4.4,57,973,1172,0.2,17.07
PP Ojha,6,19,0,0,8,31.58,0.75,54,923,1024,0.18,17.09
JA Morkel,537,376,36,31,19,142.82,28.26,49,854,1080,0.21,17.43
A Kumble,35,49,3,0,3,71.43,11.67,49,983,1027,0.17,20.06
SK Warne,188,199,13,6,18,94.47,10.44,46,937,1118,0.2,20.37
A Mishra,102,116,6,2,10,87.93,10.2,45,714,771,0.18,15.87
PP Chawla,183,163,20,3,14,112.27,13.07,44,855,1039,0.2,19.43
M Muralitharan,9,13,1,0,4,69.23,2.25,43,979,955,0.16,22.77
A Nehra,27,34,2,1,2,79.41,13.5,42,691,757,0.18,16.45
P Kumar,181,154,11,12,17,117.53,10.65,40,875,1090,0.21,21.88
Z Khan,66,67,7,1,6,98.51,11,40,685,853,0.21,17.12
Harbhajan Singh,219,138,19,13,15,158.7,14.6,39,664,691,0.17,17.03
MM Patel,37,32,5,0,4,115.62,9.25,39,632,763,0.2,16.21
SL Malinga,1,2,0,0,2,50,0.5,38,636,601,0.16,16.74
R Vinay Kumar,99,107,7,2,12,92.52,8.25,35,624,834,0.22,17.83
L Balaji,22,35,1,1,6,62.86,3.67,35,581,781,0.22,16.6
SK Trivedi,34,46,3,1,5,73.91,6.8,34,641,790,0.21,18.85
PJ Sangwan,18,30,0,0,4,60,4.5,34,650,787,0.2,19.12
MF Maharoof,177,124,12,9,10,142.74,17.7,33,441,494,0.19,13.36
DW Steyn,15,25,2,0,6,60,2.5,33,688,662,0.16,20.85
DP Nannes,4,13,0,0,1,30.77,4,31,538,558,0.17,17.35
DJ Bravo,457,401,37,17,21,113.97,21.76,30,554,691,0.21,18.47
S Sreesanth,32,44,6,0,1,72.73,32,30,605,766,0.21,20.17
